,Category,Distance,Radian
571,veggiecabbage,0.25350000000000006,-2.519
572,veggiecabbage,0.238,2.161
573,veggiecabbage,0.25050000000000006,-3.067
574,veggiecabbage,0.17150000000000004,0.772
575,veggiecabbage,0.12750000000000006,0.292
576,veggiecabbage,0.28700000000000003,-2.41
577,veggiecabbage,0.28500000000000014,-0.037
578,veggiecabbage,0.21699999999999997,-3.044
579,veggiecabbage,0.1805,-1.038
580,veggiecabbage,0.1995,1.76
581,veggiecabbage,0.1795,-0.773
582,veggiecabbage,0.244,0.365
583,veggiecabbage,0.2435,1.632
584,veggiecabbage,0.2795,-2.517
585,veggiecabbage,0.16100000000000003,1.457
586,veggiecabbage,0.0685,-0.187
587,veggiecabbage,0.28550000000000003,-2.99
588,veggiecabbage,0.3045000000000001,-0.82
589,veggiecabbage,0.27700000000000014,-0.339
590,veggiecabbage,0.21899999999999997,3.023
591,veggiecabbage,0.21650000000000003,0.902
592,veggiecabbage,0.10950000000000004,-0.318
593,veggiecabbage,0.14950000000000002,-0.583
594,veggiecabbage,0.24350000000000005,1.074
595,veggiecabbage,0.35050000000000003,1.668
596,veggiecabbage,0.14500000000000013,0.516
597,veggiecabbage,0.3365,-1.274
598,veggiecabbage,0.25450000000000006,-0.073
599,veggiecabbage,0.1855,-3.008
600,veggiecabbage,0.21650000000000003,-2.273
601,veggiecabbage,0.406,1.402
602,veggiecabbage,0.267,-1.366
603,veggiecabbage,0.20850000000000002,2.568
604,veggiecabbage,0.4035000000000001,-0.171
605,veggiecabbage,0.2805,2.974
606,veggiecabbage,0.15850000000000009,2.083
607,veggiecabbage,0.235,-1.653
608,veggiecabbage,0.18800000000000006,-1.603
609,veggiecabbage,0.324,-1.931
610,veggiecabbage,0.251,0.815
611,veggiecabbage,0.269,-2.306
612,veggiecabbage,0.3660000000000001,-0.024
613,veggiecabbage,0.267,1.307
614,veggiecabbage,0.1735000000000001,1.931
615,veggiecabbage,0.30950000000000005,2.143
616,veggiecabbage,0.2655,1.608
617,veggiecabbage,0.29500000000000004,1.62
618,veggiecabbage,0.18450000000000005,-2.465
619,veggiecabbage,0.21999999999999997,0.625
620,veggiecabbage,0.1885,0.432
621,veggiecabbage,0.257,0.857
622,veggiecabbage,0.19600000000000006,1.999
623,veggiecabbage,0.17450000000000004,0.834
624,veggiecabbage,0.4025000000000001,-2.718
625,veggiecabbage,0.20600000000000007,1.391
626,veggiecabbage,0.4070000000000001,1.89
627,veggiecabbage,0.34750000000000003,3.047
